Address,Category,Latitude,Longitude,Name,Phone,State,Township,geohash
"A1/002, Bldg A/1, Sabei St., Yuzana Plaza,",Electronic Equipment Sales & Repair,16.793125,96.175705,"Frontage International Trading Co., Ltd. (Target)","
01-206339, 01-206340, 09-250912962
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urs91
"001, Bldg 3, Nyaung Dan 1st St., Nyaung Tan Housing,",Air Conditioning Equipment Sales & Repair,16.779165,96.175439,Great Tokyo,"
01-240166, 09-767176264, 09-5115323
", :Yangon Region ," :Pazundaung
",w4urkw8
"Upper Pazundaung Rd., Ah Thin Tike Bus Stop,",Press & Printers [Offset],16.791767,96.183177,Phyo Wai Lyhan, :, :Yangon Region ," :Mingalar Taung Nyunt
",w4urs8y
"Rm 4, Bldg 11, Hnin Si St., Yuzana Plaza,",Bedroom Accessories,16.792541,96.174885,Myanmar Pyae Sone Aung,"
09-5106122, 09-798410837, 01-200747
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urs8b
"18 (3A-6B), U Tun Linn Chan St., Hledan,",Accountancy & Management Training Centres,16.827726,96.129654,Nay Lin Aung,"
01-504737, 01-512900, 09-450022646
", :Yangon Region ," :Kamayut
",w4urerr
"3, Kyee Myin Daing Kannar Rd., Corner of Insein St., Near Kyeemyin Daing Nya Zay Bus Stop,",Electric Motors & Dynamo Sales & Repair,16.807524,96.122066,Sin Min,"
09-421058862, 09-799642974
", :Yangon Region ," :Kyeemyin Daing
",w4ure79
"55/65, Shwe Dagon Pagoda Rd., Lower Block,",Machinery & Spare Parts Dealers,16.772974,96.153022,San Chain Oo, :, :Yangon Region ," :Latha
",w4urkj2
"3, Thu Mingalar Rd., Corner of Parami Rd.,",Aluminium Frames & Furnitures,16.881385,96.158419,Aung Zaw Phyo,"
09-254252231, 09-43104836
", :Yangon Region ," :South Okkalapa
",w5h2h1h
"14, Bawdi Nyaung Pin St., Phawkan,",Plastic Materials & Products,16.90712,96.097752,Angel & Gandamar Plastic Production,"
01-3641134, 01-3645987
", :Yangon Region ," :Insein
",w5h24vb
"43/A, No.(4) Main Rd.,",Sewing Machines & Accessories,16.942745,96.09634,U Chun, :, :Yangon Region ," :Shwe Pyi Thar
",w5h26sr
"1036, Pyay Rd., Near Kyauk Taw Gyi Bus Stop,",Water Tanks,16.888163,96.127085,Golden Triangle,"
01-3641611, 09-5138651, 09-975786000, 09-975786333
", :Yangon Region ," :Insein
",w5h256m
"652, Mahaw Gani St., Ward (5),",Jams [Manu/Dist],16.862654,96.052131,Swe Myo Mae,"
09-73008086, 09-73030223
", :Yangon Region ," :Hlaing Thar Yar
",w4urctz
"724, Merchant Rd., Corner of 26th St.,",Chemicals,16.771232,96.153703,"Masda Chemical International Co., Ltd.", :, :Yangon Region ," :Pabedan
",w4urkj0
"200/208, Rm 502, 5th Flr, 35th St., Upper Block,",Language Schools,16.777933,96.160851,Saya Tony,"
09-5061343, 09-5138867, 09-448000410
", :Yangon Region ," :Kyauktada
",w4urknq
"33, Bayint Naung Rd., Shwe Padauk Yeikmon,",Fertilizers,16.830953,96.121762,"Wisara International Co., Ltd.","
01-538231, 01-507034, 01-500460
", :Yangon Region ," :Kamayut
",w4urerc
"914/B, Pyay Rd., 10 Mile, Saw Bwar Gyi Gone Ward,",Building Materials,16.887773,96.128825,GROHE, :, :Yangon Region ," :Insein
",w5h256q
"G Flr, 85 St., Between 26 St. and 27 St, Zaycho, West E-Shed,",Pharmacy Shops [Traditional],21.982414,96.077275,Htein Lin,"
02-4031452, 09-2005779
", :Mandalay Region ," :Chan Aye Thar Zan
",w5um43c
"210, Rm A/1, 1st Flr, Kaba Aye Pagoda Rd.,",Clinics [Plastic Surgery/Skin Beauty],16.85677,96.15662,New U Aesthetic & Laser, :, :Yangon Region ," :Mayangone
",w4uruhe
"1052/A, Innwa St., Ward (6),",Construction Services,16.848465,96.175352,Dana Shwe Nan,"
09-8650304, 09-799995588
", :Yangon Region ," :South Okkalapa
",w4urue0
"263, G Flr, 153th St., Corner of Kyaikkasan Rd.,",Tourism Services,16.806389,96.175284,"Golden Star Travels & Tours Co., Ltd.", :, :Yangon Region ," :Tarmwe
",w4urse8
"Rm 001, Bldg 02, Lower Kyee Myin Daing Rd., Shwe Lake Pyar Housing,",Electrical Goods Sales,16.797263,96.126163,"Tun Tun Maung Electrical Trading Co., Ltd.", :, :Yangon Region ," :Kyeemyin Daing
",w4ure3u
"31/13, Thitsar Rd., Kanbei, Moe Kaung,",Dentists & Dental Clinics,16.823367,96.163257,Say Ta Nar Aung, :, :Yangon Region ," :Yankin
",w4ursnx
"77, Baho Rd.,",Air Conditioning Equipment Sales & Repair,16.778055,96.149218,Summit, :, :Yangon Region ," :Kamayut
",w4ur7ym
"86/88/90, Tharaphi-C Shed, Zaycho,",Ladies Wear,21.982549,96.077319,Khaing Thitsar,"
09-256029593, 09-797412335
", :Mandalay Region ," :Chan Aye Thar Zan
",w5um43c
"27, Bo Aung Kyaw St., Pin Lon Market, Ward (13),",Sewing Machines & Accessories,16.884525,96.050216,Thein Htoo Aung,"
09-254231107, 09-799875928
", :Yangon Region ," :Hlaing Thar Yar
",w5h219t
"Rm 003, Bldg 22, 8th St., Yuzana Garden City Housing, B Block,",Real Estate Agents,16.826345,96.264314,Ngwe Nann,"
09-73110663, 01-593194
", :Yangon Region ," :Dagon Seikkan
",w4urwx1
"187/175-D, Pazundaung Set Hmu St., Industrial Zone (3),",Hardware Merchants & Ironmongers,16.842414,96.226191,Tin Maung Latt,"
09-73205633, 09-254157866, 09-31905634, 01-590955
", :Yangon Region ," :South Dagon
",w4urvdj
"55-B, 1st Flr, Yae Kyaw St.,",Dentists & Dental Clinics,16.780747,96.171705,ORTHO-DENT,"
09-43068360, 09-795889205
", :Yangon Region ," :Pazundaung
",w4urkqy
"Blk 33, 2, Ngar Mhan Aung Pagoda St. ,",Language Schools [English],16.861337,96.18767,Augusto School of English,"
09-5145829, 01-8011378
", :Yangon Region ," :North Dagon
",w4uruv9
"74, Aung Chan Thar St., Industrial Zone (7),",Electrical Goods Sales,16.877586,96.080049,"Green Super Power Co., Ltd.", :, :Yangon Region ," :Hlaing Thar Yar
",w5h2427
"51, 16th St.,",Plastic Materials & Products,16.773943,96.147106,Nay Lin Kyaw [Ko] + Thida Lwin [Ma],"
09-8761122, 09-955190191, 09-5190191
", :Yangon Region ," :Lanmadaw
",w4ur7vs
"D/17/18, Thudhamar Rd., Thiri Yadanar Retail/Wholesale Market,",Curtains,16.925588,96.155269,Global Lotus Limited,"
09-250666266, 09-450066870, 09-428183690
", :Yangon Region ," :North Okkalapa
",w5h2k14
"F-27, Thudhamar Rd., Thiri Yadanar Retail/Wholesale Market,",Furniture Marts,16.924556,96.154657,XSHOP1MYANMAR, :, :Yangon Region ," :North Okkalapa
",w5h2k11
"68, G Flr, Min St.,",Air Conditioning Equipment Sales & Repair,16.801448,96.133353,KS,"
09-420208874, 09-765208874, 09-33901082
", :Yangon Region ," :Sanchaung
",w4uredd
"4/102, Ma Soe Yein Kyaung St., Myittar Nyunt Ward,",Photo Studios & Labs,16.812912,96.182057,Shwe Mya, :, :Yangon Region  ," :Tarmwe
",w4ursst
"B-2, Kaba Aye Pagoda Rd., Myanma Gems Museum,",Jewellery Shops,16.854686,96.156364,Mogouk U Than Maung (Nay La Napa Theikdi Yadanar),"
01-705070, 09-5130974, 09-73205028
", :Yangon Region ," :Mayangone
",w4uruh6
"17/Ka Gyi, Airport Avenue St., 10 Mile, Saw Bwar Gyi Gone Ward,",Foodstuffs,16.889834,96.129371,"Angels Foods Trading Co., Ltd.","
09-799912166, 09-799912177, 09-259262519
", :Yangon Region ," :Insein
",w5h256x
"38, 136th St., Near Yuzana Plaza,",Plastic Materials & Products,16.795172,96.173531,OTTO Plastic Production,"
01-205238, 09-250001171, 09-43074144
", :Yangon Region ," :Tarmwe
",w4urs3r
"75, G Flr, Tasaung Gyee St.,",Event Management/Organisers & Ceremony Services ,16.8066871,96.1180704,Diamanda Blossoms Event, :, :Yangon Region ," :Kyeemyin Daing
",w4ure5x
"17/19, G Flr, 52nd St., Ward (5),",Air Conditioning Equipment Sales & Repair,16.779931,96.154514,"Reetech (Myanmar) Co., Ltd.","
09-776077522, 09-776077533, 09-776077544
", :Yangon Region ," :Botahtaung
",w4urkn9
"Blk 52, 9 St., Corner of 75 St.,",Building Materials,22.007724,96.093229,Kyauk Soo,"
09-2009988, 02-4064426
", :Mandalay Region ," :Aung Myay Thar Zan
",w5um4wk
"232, Bo Aung Kyaw St., Corner of Maha Bandoola Rd.,",Desktop Publishing Services,16.774049,96.164601,Lu Du Myittar,"
01-392834, 09-5099649
", :Yangon Region ," :Kyauktada
",w4urkm8
"263, Shwe Bon Tha St., Middle Block,",Optical Goods,16.775685,96.155915,United Vision, :, :Yangon Region ," :Pabedan
",w4urkjf
"176/178, War Dan St., Upper Block,",Hospitals [Private],16.775891,96.139166,Kant Kaw, :, :Yangon Region ," :Lanmadaw
",w4ur7ty
"252/Ka Gyi, Than Thu Mar Rd., Thut Waing Gyee Ward,",Hardware Merchants & Ironmongers,16.832526,96.205691,Toe Brother,"
09-451580400, 09-451580500
", :Yangon Region ," :Thingangyun
",w4urv0q
"141, 2nd Flr, 38th St., Middle Block,",Accountants & Auditors,16.772684,96.162563,PSG, :, :Yangon Region ," :Kyauktada
",w4urkjr
"Za Gue Za Gue-22/47-48, Bet; 53 St. and 54 St. & Bet; Nga Kywe St. and Khaing Shwe Wah St., Lane(5),",Embroidery Machines & Services,21.934796,96.124362,"TWIN AUNG AUNG FAMILY Co., Ltd.","
09-254029988, 09-781379844
", :Mandalay Region ," :Chan Mya Tharsi
",w5ukg35
"1, Tharyar Aye St., Near Ye Yan Aung Bus Stop, Ward (3),",Air Conditioning Equipment Sales & Repair,16.866968,96.123938,Ah Mae Thar,"
09-420270566, 09-791667661
", :Yangon Region ," :Mayangone
",w4urgqe
"155, Seik Kan Thar Rd., Industrial Zone (1),",Gas [Manu] [Industrial/Medical],16.8333042,96.170264,"IB Gas (Infinite Benevolence Trading Co., Ltd.)","
09-443221199, 09-73569999, 09-443016972, 01-3592295
", :Yangon Region ," :Dagon Seikkan
",w4uru2m
"2nd Flr, Upper Pazundaung Rd., Chan Thar Plaza,",Education Services,16.783435,96.174363,Glory Hope,"
01-397502, 09-778080680, 09-5150582
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urkx2
"East Of Zay, Near of Ziwaka Medicine Shop, Pann Wah Fabric Shop Myauk Bet Kat Hlyat,",Mobile Phones & Accessories,22.21136,96.112368,Yes,"
09-790216290, 09-962412220
", :Mandalay Region ," :Madayar
",w5uq756
"202, Bldg C-10, 5 Flr, Strand Rd., Thirimingalar Garden Housing,",Tourism Services,16.788393,96.126137,Fred Cole , :, :Yangon Region ," :Ahlone
",w4ure2h
"Nya/77, Yuzana St., Bayint Naung Warehouses,",Warehouses [Rice],16.861753,96.104783,Sin Min,"
09-5007307, 01-3681702, 01-3681953
", :Yangon Region ," :Mayangone
",w4urfvt
"125, 1st Flr, 40th St.,",Logistics Services,16.772088,96.163761,"Golden Mermaid Logistics Co., Ltd.", :, :Yangon Region ," :Kyauktada
",w4urkm2
"217, Khayay Myaing St., Thuwunna, Ward (23),",Silk Wear,16.818503,96.198573,Num Htaw, :, :Yangon Region ," :Thingangyun
",w4urtj9
"Na Na-14/49 to 52, Tha Khin Phoe Hla Gyi St., Corner of 60 A St.,",Hotels,21.889579,96.113719,Blue Moon,"
02-5152496, 02-5152497
", :Mandalay Region ," :Pyigyi Tagon
",w5uke0g
"7, Kamar Kyi Rd., Ward (29),",Car Workshops,16.829986,96.209549,Ko Shae Gyi,"
09-257005557, 09-73081179
", :Yangon Region ," :Thingangyun
",w4urtrc
"C-14/C-12/D-12, G Flr, Yuzana Plaza, Entrance (3),",Fashion Shops,16.794073,96.176688,Blue Moon Fashion,"
01-205072, 09-262172176
", :Yangon Region ," :Tarmwe
",w4urs93
"20, G Flr, Kyun Taw Rd.,",Tourism Services,16.7845914,96.1534087,New Motion," :
", :Yangon Region ," :Sanchaung
",w4urkp8
"44/Gagyi, Yae Tamar St., Bayint Naung Warehouses,",Warehouses [Sugar/Slab Sugar],16.862341,96.10344,Sar Yae Gyi,"
09-452954167, 01-3680485, 01-683455
", :Yangon Region ," :Mayangone
",w4urfvs
"3/89, Gant Gaw Myaing St., Parami,",Healthcare Services,16.50152,96.09153,"Poe-ma Assistance & Services Co., Ltd.", :, :Yangon Region ," :Yankin
",w4umfs5
"Rm F/459, 1st Flr, D Shed, Thein Gyi Market, Ward (8),",Stationery,16.77517,96.153064,Shwe Myat Hman,"
09-260801122, 09-252227750, 09-782488300
", :Yangon Region ," :Latha
",w4urkjb
"Nga/58(B), Ngu Wah St., Bayint Naung Warehouses,",Warehouses [Jaggery],16.86047,96.104128,U Hla Win Warehouse,"
09-5021196, 01-3681191, 01-3686206
", :Yangon Region ," :Mayangone
",w4urfvk
"110, 23rd St., Upper Block,",Plastic Materials & Products,16.775169,96.152309,Kyauk Hoke,"
01-246112, 01-241171, 09-5149663
", :Yangon Region ," :Latha
",w4ur7vz
"302/B, Thu Mingalar Rd., Thit Min Housing,",Construction Services,16.825965,96.193379,"Hi Cool International Trading Co., Ltd.", :, :Yangon Region ," :Thingangyun
",w4urszj
"48, 118th St.,",Stationery,16.8450683,96.1749478,Good,"
09-261097011, 09-793456758, 09-454717172
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urud8
"Rm 011/010(B), Bldg A, Hnin Si St., Highway Complex Condo,",Plastic Machineries & Equipment,16.819478,96.123358,"Arkarthit Enterprise Co., Ltd.", :, :Yangon Region ," :Kamayut
",w4uremf
"3, Ta Pin Shwe Htee St., Shwe Bon Thar Housing,",Laundries,16.872085,96.078504,Smart Laundry,"
09-5167618, 09-5166640
", :Yangon Region ," :Hlaing Thar Yar
",w4urfr6
"7/E, Aye Tharyar St., Man Aung Ward,",Designers [Fashion],16.824557,96.17329,The Royals,"
09-43172533, 09-420167244
", :Yangon Region ," :Tarmwe
",w4ursqz
"836/838, Nyaung Yan St., Shwe Pauk Kan Myoh Thit, Ward (17),",Plastic Printings,16.932752,96.183955,Shwe Nan Daw Plastic Printing,"
01-696123, 09-5149686, 09-5039319, 09-250778177
", :Yangon Region ," :North Okkalapa
",w5h2kdx
"7, Than Thu Mar Rd., Si Mann Kane Ward (14/2),",Car Servicing Equipment,16.84718,96.19834,"Myanmar Mega Power Group Co., Ltd.", :, :Yangon Region ," :South Okkalapa
",w4urv4c
"20, San Yeik Nyein 6th St., Hledan, Ward (2),",Car & Truck Dealers & Importers,16.831163,96.130126,"United Eleven Co., Ltd."," :
", :Yangon Region ," :Kamayut
",w4urg2p
"2721, Chaung Thar St., Industrial Zone (2), Ward (63),",Ship Repairing Materials,16.869354,96.207831,Dagon,"
09-5016587, 09-780042410, 09-450094124
", :Yangon Region ," :South Dagon
",w4urvqb
"109, 1st Flr, 33rd St., Middle Block,",Photo Studios & Labs,16.775684,96.159494,Apple, :, :Yangon Region ," :Kyauktada

",w4urkjv
"59/A-1/2, 84 St., Between 25 St. and 26 St.,",Building Materials,21.984117,96.077914,Million Stars,"
02-4066767, 09-33160666
", :Mandalay Region ," :Aung Myay Thar Zan
",w5um461
"89, Rm 4A, Thukha Myaing (4) th St,",Book Publishers & Distributors,16.841208,96.126122,Salmon,"
09-777249637, 09-43181937
", :Yangon Region ," :Hlaing
",w4urg3u
"120, 62 St., Corner of Sein Pan St.,",Logistics Services,16.789256,96.164704,"Chinn Dwin Shwe Li Transportation Co., Ltd.","
09-260300011, 09-5230485, 09-5233292
", :Mandalay Region ," :Chan Mya Tharsi
",w4urs23
"67, West Race Course Rd.,",Glass Plates & Mirrors,16.814647,96.169003,UNITED,"
09-73119388, 09-5109723, 09-443119388, 09-795522066
", :Yangon Region ," :Bahan
",w4ursmh
"1189-1190, Bldg EAU, Sittaung St., Industrial Zone (2), Ward (63),",Air Conditioning Equipment Sales & Repair,16.776918,96.169826,"East Asia United Co., Ltd.", :, :Yangon Region ," :South Dagon
",w4urkqh
"20, Htee Dan 4th St.,",Hardware Merchants & Ironmongers,16.814727,96.12214,Mitools, :, :Yangon Region ," :Kyeemyin Daing
",w4urem4
"B-83, Lawpita St., Industrial Zone (3),",Hardware Merchants & Ironmongers,16.892385,96.227082,Moe Moe,"
09-448023454, 09-5144959, 01-590815
", :Yangon Region ," :South Dagon
",w5h2jen
"2/3, Khittar Shed, Pyi Htaung Su Rd., South-North Junction, Ward (26),",Parquet Floorings,16.852349,96.217448,Chan Thar,"
09-43176316, 09-956999433, 09-260528563
", :Yangon Region ," :South Dagon
",w4urv7z
"17, Nant Thar Phyu St.,",Press & Printers [Offset],16.774934,96.181088,Thadar Moe,"
09-450002560, 09-31686931
", :Yangon Region ," :Pazundaung
",w4urktu
"43, 1st Flr, San Yeik Nyein 5th St.,",Language Schools [Japanese],16.83359,96.131865,Myanmar Sakura Japanese Language Schools, :, :Yangon Region ," :Kamayut
",w4urg83
"W(8)/W(9), G Flr, Banyar Dala Rd., Yuzana Plaza, Entrance (3),",Bags [Other],16.794379,96.175189,Ko Maung Maung, :, :Yangon Region ," :Mingalar Taung Nyunt
",w4urs92
